0,0,2,3,199,199,25,2,0,0,0
0,0,4,2,17,33,1,0,0,0,0
0,0,0,7,111,146,3,0,0,0,0
0,0,8,18,168,174,12,1,0,0,0
0,0,0,6,92,107,6,0,0,0,0
0,0,2,11,56,73,2,0,0,0,0
0,0,3,33,372,495,29,1,1,0,0
0,1,1,5,51,77,12,1,0,0,0
0,0,0,2,54,60,4,0,0,0,0
0,0,0,1,62,77,17,0,0,0,0
0,1,3,9,141,185,22,0,0,0,0
0,1,0,7,69,62,7,0,0,0,0
0,1,3,9,142,207,9,0,0,0,0
0,0,0,7,80,86,5,1,0,0,0
0,0,1,6,48,47,2,0,0,0,0
0,1,0,10,70,81,4,0,0,0,0
0,0,5,3,40,53,6,0,0,0,0
0,0,1,4,63,61,4,0,0,0,0
0,0,2,7,55,55,3,0,0,0,0
0,0,5,4,87,66,4,0,1,0,0
0,0,2,6,66,52,5,1,0,0,0
0,0,3,9,55,36,4,0,0,0,0
0,0,9,11,113,142,12,0,0,0,0
0,1,3,8,259,333,31,0,0,0,0
0,0,0,3,52,58,1,1,0,0,0
0,0,0,1,32,58,6,2,0,0,0
0,0,1,11,171,227,16,0,0,0,0
0,0,0,8,196,185,12,1,0,0,0
0,1,6,7,73,44,12,0,0,0,0
0,0,1,9,158,125,7,0,0,0,0
0,2,5,8,71,36,0,0,0,0,0
0,0,1,6,59,82,7,0,0,0,0
0,1,2,4,63,50,0,1,0,0,0
0,0,1,6,117,112,2,0,0,0,0
0,0,2,4,27,35,2,0,0,0,0
0,0,1,7,86,107,0,0,0,0,0
0,1,1,4,92,79,0,0,0,0,0
0,0,2,5,90,118,14,3,0,0,0
0,0,2,4,26,32,1,0,0,0,0
0,0,0,5,53,57,2,0,0,0,0
0,0,0,3,50,74,6,0,0,0,0
0,0,1,1,21,27,1,0,0,0,0
0,0,6,13,231,223,10,1,0,0,0
0,0,5,13,147,146,14,0,0,0,0
0,0,0,3,49,68,7,0,0,0,0
0,0,1,5,102,96,7,0,0,0,0
0,0,1,6,51,83,1,0,0,0,0
0,0,1,5,64,49,2,0,0,0,0
0,0,4,5,63,59,5,0,0,0,0
0,1,1,7,33,21,0,0,0,0,0
0,0,4,7,149,82,4,0,0,0,0
0,0,3,6,130,128,8,0,0,0,0
0,0,2,5,19,46,2,0,0,0,0
0,0,0,1,42,82,7,0,0,0,0
0,0,3,4,48,64,2,0,0,0,0
0,0,5,5,82,76,0,0,0,1,0
0,0,1,2,24,12,0,0,0,0,0
0,0,4,5,54,49,1,0,0,0,0
0,0,3,1,57,61,1,0,0,0,0
0,1,1,7,85,85,7,0,0,0,0
0,0,0,10,74,85,19,0,1,0,0
0,1,2,5,99,53,2,0,0,0,0
